# step   N   rho   U
39350 21 0.0612245 -14.2057
39400 20 0.058309 -11.1855
39450 20 0.058309 -11.2284
39500 23 0.0670554 -13.4748
39550 22 0.0641399 -10.8227
39600 34 0.0991254 -23.0165
39650 41 0.119534 -34.9422
39700 40 0.116618 -35.2886
39750 38 0.110787 -31.8567
39800 35 0.102041 -28.0946
39850 29 0.0845481 -18.5386
39900 23 0.0670554 -14.431
39950 21 0.0612245 -10.936
40000 22 0.0641399 -14.6015
40050 25 0.0728863 -15.4067
40100 29 0.0845481 -21.8469
40150 30 0.0874636 -23.9179
40200 28 0.0816327 -19.4248
40250 33 0.0962099 -30.909
40300 31 0.090379 -26.2185
40350 25 0.0728863 -14.2305
40400 26 0.0758017 -15.5525
40450 31 0.090379 -16.879
40500 25 0.0728863 -12.766
40550 13 0.0379009 -3.59463
40600 4 0.0116618 -0.0249765
40650 12 0.0349854 -2.07201
40700 12 0.0349854 -4.73969
40750 14 0.0408163 -5.05167
40800 13 0.0379009 -4.70507
40850 14 0.0408163 -4.3923
40900 14 0.0408163 -4.43856
40950 16 0.0466472 -4.60442
41000 14 0.0408163 -5.81387
41050 15 0.0437318 -4.01324
41100 10 0.0291545 -1.22212
41150 11 0.03207 -0.943142
41200 17 0.0495627 -4.78705
41250 20 0.058309 -7.7836
41300 13 0.0379009 -5.28182
41350 15 0.0437318 -6.01196
